X,Y,Z,ASSETID,ELR,Mile,Yards,Chains,Miles_Dec,Chainage
446342.161,360292.797,0,"9004042828",SCB,140,746,33.909,140.42386364,225990.302
327208.197,324261.310000001,0,"9004043050",GNQ2,1,0,0,1,1609.344
446258.372883186,409779.284447788,0,"9004043152",FRC1,0,743,33.773,0.42215909,679.399
229090.521,675070.106000001,0,"9004042931",CON2,23,0,0,23,37014.912
428995.742089687,353736.888021929,0,"9004043214",DJW,141,440,20,141.25,227319.84
445114.913883853,372768.37927986,0,"9004043010",BOC1,7,0,0,7,11265.408
611383.051,300926.494000001,0,"9004043074",NOE,0,0,0,0,0
379320.829,344242.971000001,0,"9004043026",HCM2,6,0,0,6,9656.064
447700.332091993,361352.413288461,0,"9004043022",TSC,141,880,40,141.5,227722.176
431010.432748507,346223.955468732,0,"9004043129",DJW,136,0,0,136,218870.784
378146.730641649,342736.809552567,0,"9004043135",HCM2,7,440,20,7.25,11667.744
385977.537064658,348896.604162779,0,"9004007070",CMD2,17,880,40,17.5,28163.52
615500.763910226,243941.160204789,0,"9004042991",IPD,0,440,20,0.25,402.336
386829.7827153,329551.283093279,0,"9004042789",LEC6,138,1320,60,138.75,223296.48
174223.40079292,45228.7011098817,0,"9004043007",MLN4,306,0,0,306,492459.264
176881.041770435,36805.6630318916,0,"9004043149",FAL1,307,1144,52,307.65,495114.682
180335.334483483,43663.5202168156,0,"9004042807",FAL1,302,0,0,302,486021.888
179432.935410178,42388.651581909,0,"9004042843",FAL1,303,0,0,303,487631.232
430234.593809367,589570.68385668,0,"9004042928",BWC1,5,1320,60,5.75,9253.728
501210.113640451,222658.381232,0,"9004042899",WLN,38,197,8.955,38.11193182,61335.209
356695.491451549,171389.904070623,0,"9004043178",BWW,1,596,27.091,1.33863636,2154.326
246352.892,207705.009,0,"9004042957",CMM,7,440,20,7.25,11667.744
504783.328421796,222189.645009736,0,"9004043107",WLN,35,880,40,35.5,57131.712
534907.224712514,178686.805245318,0,"9004043005",LBC,1,880,40,1.5,2414.016
458176.745637404,103781.796689409,0,"9004043072",FTB,86,0,0,86,138403.584
457984.05730086,104148.157329275,0,"9004042988",FTB,85,1320,60,85.75,138001.248
526313.379450351,168913.19681073,0,"9004042972",MJW,1,880,40,1.5,2414.016
505185.209245224,222172.251002207,0,"9004043121",WLN,35,440,20,35.25,56729.376
529811.578610771,167062.805135411,0,"9004043169",CMJ,4,0,0,4,6437.376
510078.630005174,220839.26899114,0,"9004043081",WLN,31,1649,74.955,31.93693182,51397.51
502531.592023445,222036.268947435,0,"9004043116",WLN,37,0,0,37,59545.728
234768.81097621,635038.739216827,0,"9004042817",HIL,0,0,0,0,0
329092.327930222,325162.680885991,0,"9004043200",GNQ4,21,440,20,21.25,34198.56
428910.948862605,354526.039345273,0,"9004042802",DJW,141,1320,60,141.75,228124.512
459858.319758715,361528.927469196,0,"9004043025",RUB1,0,1320,60,0.75,1207.008
351160.601,370783.859999999,0,"9004043098",MWC,31,95,4.318,31.05397727,49976.532
457696.31404511,407314.576356223,0,"9004043176",BCO,0,0,0,0,0
445759.859795646,371447.924118836,0,"9004043124",BCE,5,1407,63.955,5.79943182,9333.281
