elr,mileage,name,type,lat,lon
AAV,36.0814 - 36.0814,Watchmore Park Riverside Way,Authorised Access Point - Pedestrian,51.32467632,-0.76070405
AAV,37.0103 - 37.0103,Blackwater valley Relief Rd,Authorised Access Point - Pedestrian,51.31711207,-0.7563016
AAV,36.017 - 36.017,York Road  A321  bridge 16,Authorised Access Point - Pedestrian,51.32903107,-0.75586457
AAV,37.022 - 37.022,FRIMLEY TP HUT,Authorised Access Point - Pedestrian,51.31645261,-0.7551715
AAV,35.0742 - 35.0742,Camberley Station Platform 1,Authorised Access Point - Pedestrian,51.33597475,-0.74509682
AAV,35.0598 - 35.0598,Camberley Station Lxing,Authorised Access Point - Pedestrian,51.33648694,-0.74338888
AAV,35.0598 - 35.0598,Camberley Substation,Authorised Access Point - Vehicle,51.33648694,-0.74338888
AAV,34.1459 - 34.1459,Middleton Rd  Upper Park Road  Bridge 14,Authorised Access Point - Pedestrian,51.33958103,-0.73262293
AAV,38.1144 - 38.1144,"Frimley, Rear of Thames Water Works",Authorised Access Point - Pedestrian,51.30011214,-0.73243319
AAV,38.1752 - 38.1752,Mytchett Road  Miners  A321  Bridge 20,Authorised Access Point - Pedestrian,51.29645801,-0.72716946
AAV,40.0247 - 40.0247,Mytchett bridge 22,Authorised Access Point - Pedestrian,51.28132616,-0.72324318
AAV,39.1306 - 39.1306,Guildford Road bridge 21,Authorised Access Point - Pedestrian,51.28695517,-0.72158139
AAV,34.0198 - 34.0198,Gibbett Lane bridge 13,Authorised Access Point - Pedestrian,51.34539779,-0.7192668
AAV,33.099 - 33.099,JOLLY FARMER  UP SIDE  CAMBERLEY END,Authorised Access Point - Pedestrian,51.35060736,-0.70888273
AAV,32.0506 - 32.0506,Guildford Road Viaduct  Bagshot ,Authorised Access Point - Pedestrian,51.36163317,-0.68954097
AAV,32.0189 - 32.0189,BAGSHOT PLATFORM 1,Authorised Access Point - Pedestrian,51.36441801,-0.68848471
AAV,32.0104 - 32.0104,Bagshot Station Car Park,Authorised Access Point - Vehicle,51.36509848,-0.68822108
AAV,30.0572 - 30.0572,Windlesham TP Hut,Authorised Access Point - Pedestrian,51.38953247,-0.67956032
ABD,21.066 - 21.066,Fernhill,Authorised Access Point,51.68977645,-3.40149301
ABD,21.0176 - 21.0176,Fernhill,Authorised Access Point,51.68824744,-3.3992613
ABD,21 - 21,Fernhill,Authorised Access Point,51.68768422,-3.39823128
ABD,20.1735 - 20.1735,,Authorised Access Point - Vehicle,51.68756148,-3.3979671
ABD,20.0242 - 20.0242,Mountain Ash,Authorised Access Point,51.68313801,-3.37891061
ABD,18.1606 - 18.1606,Penrhiwceiber,Authorised Access Point,51.6699811,-3.35978436
ABD,18.154 - 18.154,Penrhiwceiber,Authorised Access Point,51.66955566,-3.35925103
ABD,18.022 - 18.022,Penrhiwceiber,Authorised Access Point,51.66247661,-3.3485424
ABD,17.1012 - 17.1012,Abercynon North,Authorised Access Point,51.65778449,-3.33975789
ABD,17.0726 - 17.0726,Abercynon North,Authorised Access Point,51.65560701,-3.33830589
ABD,17.0264 - 18.011,Pontycynon,Authorised Access Point,51.65255463,-3.33471782
ABD,16.0737 - 16.0737,Abercynon N,Authorised Access Point - Vehicle,51.64415905,-3.32811202
ABD,19.1628 - 19.1628,Mountain Ash,Authorised Access Point,53.04662992,-3.0006291
ABE1,1.088 - 1.088,GONERBY BR2,Authorised Access Point - Pedestrian,52.94381491,-0.67232165
ABE1,3.088 - 3.088,SAND LANE BR7,Authorised Access Point - Pedestrian,52.96871869,-0.64932659
ABW,0.055 - 0.055,Cooksholme,Authorised Access Point - Pedestrian,52.15198637,-2.16427328
ACR,56.049 - 56.049,Ashford-Carriage Sidings,Authorised Access Point - Pedestrian,51.14189135,0.87750253
ACR,56.1276 - 56.1276,Ashford-Carriage Sidings,Authorised Access Point - Vehicle,51.14032352,0.88674195
ACR,56.1452 - 56.1452,Ashford-Carriage Sidings,Authorised Access Point - Pedestrian,51.14126123,0.88847337
ACR,56.1595 - 56.1595,Ashford/Wye-Osbourne Road Bridge 1859B,Authorised Access Point - Pedestrian,51.14230024,0.88938179
ACR,56.1606 - 56.1606,Ashford-Carriage Sidings,Authorised Access Point - Pedestrian,51.14238899,0.88943023
ACR,57.0247 - 57.0247,Ashford/Wye-Hythe Road Bridge 1860,Authorised Access Point - Pedestrian,51.14551478,0.8910696
ACR,58 - 58,Batchelors RRV,Authorised Access Point - Road-Rail Machines,51.15693337,0.8985199
ACR,58.0044 - 58.0044,Ashford/Wye-Willesborough Rd Bridge 1864/1864A,Authorised Access Point - Pedestrian,51.15723127,0.89883892
ACR,60.0775 - 60.0775,Wye-Signal Box,Authorised Access Point - Pedestrian,51.18612394,0.93014855
ACR,60.0991 - 60.0991,Wye-Signalbox car park,Authorised Access Point - Vehicle,51.18774155,0.93128169
ACR,62.1716 - 62.1716,Wye-Godmersham Road  Bridge 1883,Authorised Access Point - Pedestrian,51.21746895,0.95949392
ACR,64.1301 - 64.1301,Chilham TP Hut,Authorised Access Point - Pedestrian,51.24009219,0.9711342
ACR,63.1238 - 63.1238,Wye/Chilham-Pope Street Bridge 1886,Authorised Access Point - Pedestrian,51.22551491,0.97030953
ACR,64.1374 - 64.1374,Wye/Chilham-Chilham CSR Mast,Authorised Access Point - Pedestrian,51.24070563,0.97141734
ACR,64.0726 - 64.0726,Sandy Lane Bridge 1889,Authorised Access Point - Pedestrian,51.23541928,0.97132016
ACR,64.1661 - 64.1661,Chilham Mill Level Crossing LE,Authorised Access Point - Pedestrian,51.24291418,0.97335097
ACR,64.1661 - 64.1661,Chilham Mill Level Crossing CE,Authorised Access Point - Pedestrian,51.24291418,0.97335097
ACR,64.1683 - 64.1683,Chilham Mill Level Crossing LE,Authorised Access Point - Pedestrian,51.24291418,0.97335097
ACR,64.1683 - 64.1683,Chilham Mill Level Crossing CE,Authorised Access Point - Pedestrian,51.24291418,0.97335097
ACR,65.087 - 65.087,Chilham Road Level Crossing LE,Authorised Access Point - Pedestrian,51.24711723,0.98385469
ACR,65.089 - 65.089,Chilham Road Level Crossing LE,Authorised Access Point - Pedestrian,51.24706978,0.98395194
ACR,65.087 - 65.087,Chilham Road Level Crossing CE,Authorised Access Point - Pedestrian,51.24708592,0.98402464
ACR,66.0682 - 66.0682,Chilham/Chartham-Shalmsford St Bridge 1898,Authorised Access Point - Pedestrian,51.25324156,1.0018382
ACR,67.1056 - 67.1056,Horton,Authorised Access Point - Pedestrian,51.25938728,1.02794172
ACR,69.1005 - 69.1005,Canterbury West-Whitehall Road - Bridge 259 / 1903,Authorised Access Point - Pedestrian,51.27628383,1.06336998
ACR,70.033 - 70.033,St Dunstans LS,Authorised Access Point - Pedestrian,51.2825805,1.07329811
ACR,70.0352 - 70.0352,St Dunstans CS,Authorised Access Point - Pedestrian,51.25579213,1.07166797
ACR,70.0528 - 70.0528,Canterbury West ECRO,Authorised Access Point - Pedestrian,51.28387922,1.07487651
ACR,70.062 - 70.062,Canterbury West-BBRML Yard,Authorised Access Point - Vehicle,51.2844807,1.07560517
ACR,70.1188 - 70.1188,Canterbury West-St Stephens crossing,Authorised Access Point - Pedestrian,51.28808002,1.08033548
ACR,70.121 - 70.121,Canterbury West-St Stephens Crossing,Authorised Access Point - Pedestrian,51.28820943,1.08054496
ACR,71.1675 - 71.1675,Canterbury West-Broad Oak AHB,Authorised Access Point - Pedestrian,51.2980293,1.10478955
ACR,72.1255 - 72.1255,Sturry Gate Box,Authorised Access Point - Pedestrian,51.30088825,1.12174129
ACR,76.1364 - 76.1364,Grove Ferry AHB,Authorised Access Point - Pedestrian,51.32411401,1.20653887
ACR,79.0687 - 79.0687,Monkton-Gore Street Bridge,Authorised Access Point - Pedestrian,51.33435769,1.26163185
